id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
,,,,,,,
,,,,,,,
2frEhHtdtNA,0,0,,0,,,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
bniNwVgTOI4,15,1,,26,,,573
l1037nb6pps,2,4,,17,,,396
vbIuyRf3aOY,31,20,,67,,,696
f4GaZWeeVF8,545,31,,2823,,,38599
lIF2HXLHims,205,54,,735,,,7092
Cd73o4glqWI,0,0,,0,,,15
zm399sy1sLI,9,0,,9,,,96
4sflKxWl4qo,82,0,,95,,,1066
H4MKn7HtFC8,0,0,,3,,,51
UC5XiGlFSFO1TrI1weEpoxXw,0,,false,,203192,152,12706156
UCrJPlsxnLHzDqmrPeK6qCOQ,2,,false,,130903,895,16727413
UCDLOJt3hLfv3vOu9msSKvBw,0,,false,,2366,576,665263
UCg4_mz4z3vWrPClLXK9Fnnw,462,,false,,46497,592,4523615
UCMd0SLqvEcCjwu5XY6d8X5w,0,,false,,12389,346,1120541
UCQWy33JxT07WWPdGBIuToPw,2156,,false,,562883,470,41559697
UCGDm6cICIVhqYDB2KhqAk0g,0,,false,,907,93,81770
UCpDNyfs-9uoM2b_a7P09ilw,0,,false,,83691,409,26422312
UC2mqN7J0jGVynFWAavfrUPQ,0,,false,,69,13,8300
UCG1zqQfAtGSfFIHDV7SnB8A,0,,false,,746,18,15086
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
tXnRkCZZScU,0,0,,1,,,47
,,,,,,,
fEbGb0zghSc,0,0,,2,,,91
9alEOA6F6gw,3,0,,36,,,364
jL_mpriA3tw,61,7,,370,,,6186
YlHnP-eIGKY,319,28,,1546,,,19469
KCUwQ_0dQVA,73,,,,,,12695
XMg-6Wzof1Y,727,28,,3302,,,38147
usP3o_NKNeY,3,1,,17,,,100
WVw0l95BRks,56,5,,338,,,4119
sJATSxte8BU,29,1,,69,,,1402
UCbIJwYmxgwLIe_H8uC3n76A,397,,false,,84912,233,12702292
UCay_OLhWtf9iklq8zg_or0g,58,,false,,7402963,2940,6435154583
UC8g46T-dhFAqygXNf3Rf6Ig,0,,false,,64348,191,6569754
UCq3KYK2oc-4YRyKQPxIvGKw,0,,false,,25047,156,1631630
UC0k1MQ0YVNaKn9-rf73YP8g,0,,false,,279,19,29832
UC7d2u4nyAXnfwmMItQdjJaw,0,,false,,7597,205,481828
UC2dvD8iOG42mJepe07uXnCg,5,,false,,869,46,42620
UC8TKMkVfBzpAb9zeApt5qvw,0,,false,,245,4,7161
UCXVb852ylXZksCJfgMRAzQw,1,,false,,1062,98,1641524
,,,,,,,
,,,,,,,
UCwrkQRo0zZXd01udjEQQwVg,2,,false,,1409,106,75035
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
e3DSRrHKP-I,0,0,,3,,,144
,,,,,,,
O0Jf3nXOW44,0,0,,4,,,52
,,,,,,,
OUUKQT13SWA,850,1528,,6799,,,166861
,,,,,,,
95EGlJ6Hi80,46,1,,154,,,4115
